jobListingId,jobTitle,jobCategory-FullTime,jobRemote,kilometerDistanceFromCentral,Salary,EasyToApply,GraduateJob
4209669018,Software Engineer,10132,0,2.766389321,50561,0,1
4159125761,Embedded Software Engineer,10132,0,14.31256957,58399,0,1
4201688830,Solutions Engineer,10146,0,2.766389321,51464,1,0
4262194486,Graduate Software Engineer,10132,0,2.766389321,55115,0,1
4269437731,Senior Software Engineer,10132,0,2.766389321,30932,0,1
4217873931,Cloud Engineer,10132,0,2.766389321,50329,1,1
4145986740,Systems Engineer,10138,0,14.31256957,38956,1,1
4211901773,Data Engineer,10041,1,2.766389321,31592,1,0
4242469950,Engineer,10049,0,4.315528346,32720,0,0
3627965893,Full Stack Engineer,10132,0,2.766389321,33397,0,0
4162207215,Senior Software Engineer,10132,1,2.766389321,36928,1,0
4209669019,Full Stack Engineer,10132,0,2.766389321,30468,0,0
4268414516,Mobile Engineer,10132,1,2.766389321,39598,0,0
4211903643,Senior Software Engineer,10132,1,4.941275111,38776,1,0
4211901423,Engineer,10049,1,2.766389321,46411,1,0
4231331016,Solutions Engineer,10146,1,2.766389321,38280,1,1
4182578774,Full Stack Engineer,10132,0,6.460679132,44700,0,0
3672153205,Software Engineer,10132,0,1.945592239,58178,0,0
4254995301,Devops Engineer,10132,1,2.766389321,33670,1,0
4231406232,Sales Engineer,10146,1,3.457629179,42475,0,1
4264601870,QA Engineer,10114,0,2.766389321,38864,1,0
4212064730,Senior Software Engineer,10132,1,14.96878545,47313,1,0
4212064710,Lead Software Engineer,10132,1,2.766389321,40981,1,1
4223265580,Graduate Transportation Engineer,10022,0,2.766389321,36259,0,1
4246800329,Information Security Engineer,10069,0,2.766389321,39584,1,0
4152768385,Asset Manager,10057,1,6.92846976,32926,0,1
4247547118,Senior Engineer,10049,0,14.31256957,41624,0,0
4260521198,Senior Software Engineer,10132,0,2.766389321,43679,1,0
4258869677,Senior Lead Software Engineer,10132,0,3.569948431,45509,1,0
4250404970,Software Engineer,10132,0,5.613317184,57638,1,0
